,word,Noun,Verb,Adjective,Adverb
0,ABACK,0,0,0,1
1,ABASE,0,1,0,0
2,ABATE,0,1,0,0
3,ABBEY,1,0,0,0
4,ABBOT,1,0,0,0
5,ABHOR,0,1,0,0
6,ABIDE,0,1,0,0
7,ABLED,0,0,1,0
8,ABODE,1,0,0,0
9,ABORT,1,1,0,0
10,ABOUT,0,0,1,1
11,ABOVE,1,0,1,1
12,ABUSE,1,1,0,0
13,ABYSS,1,0,0,0
14,ACORN,1,0,0,0
15,ACRID,0,0,1,0
16,ACTOR,1,0,0,0
17,ACUTE,1,0,1,0
18,ADAGE,1,0,0,0
19,ADAPT,0,1,0,0
20,ADEPT,1,0,1,0
21,ADMIN,1,0,1,0
22,ADMIT,0,1,0,0
23,ADOBE,1,0,0,0
24,ADOPT,0,1,0,0
25,ADORE,0,1,0,0
26,ADORN,0,1,0,0
27,ADULT,1,0,1,0
28,AFFIX,1,1,0,0
29,AFIRE,0,0,1,0
30,AFOOT,0,0,1,1
31,AFOUL,0,0,1,0
32,AFTER,0,0,1,1
33,AGAIN,0,0,0,1
34,AGAPE,1,0,1,0
35,AGATE,1,0,0,0
36,AGENT,1,0,0,0
37,AGILE,0,0,1,0
38,AGING,1,0,1,0
39,AGLOW,0,0,1,0
40,AGONY,1,0,0,0
41,AGORA,1,0,0,0
42,AGREE,0,1,0,0
43,AHEAD,0,0,1,1
44,AIDER,1,0,0,0
45,AISLE,1,0,0,0
46,ALARM,1,1,0,0
47,ALBUM,1,0,0,0
48,ALERT,1,1,1,0
49,ALGAE,1,0,0,0
50,ALIBI,1,1,0,0
51,ALIEN,1,1,1,0
52,ALIGN,0,1,0,0
53,ALIKE,0,0,1,1
54,ALIVE,0,0,1,0
55,ALLAY,0,1,0,0
56,ALLEY,1,0,0,0
57,ALLOT,0,1,0,0
58,ALLOW,0,1,0,0
59,ALLOY,1,1,0,0
60,ALOFT,0,0,0,1
61,ALONE,0,0,1,1
62,ALONG,0,0,0,1
63,ALOOF,0,0,1,1
64,ALOUD,0,0,0,1
65,ALPHA,1,0,1,0
66,ALTAR,1,0,0,0
67,ALTER,0,1,0,0
68,AMASS,0,1,0,0
69,AMAZE,0,1,0,0
70,AMBER,1,0,1,0
71,AMBLE,1,1,0,0
72,AMEND,0,1,0,0
73,AMISS,0,0,1,1
74,AMITY,1,0,0,0
75,AMONG,0,0,0,0
76,AMPLE,0,0,1,0
77,AMPLY,0,0,0,1
78,AMUSE,0,1,0,0
79,ANGEL,1,0,0,0
80,ANGER,1,1,0,0
81,ANGLE,1,1,0,0
82,ANGRY,0,0,1,0
83,ANGST,1,0,0,0
84,ANIME,1,0,0,0
85,ANKLE,1,0,0,0
86,ANNEX,1,1,0,0
87,ANNOY,0,1,0,0
88,ANNUL,0,1,0,0
89,ANODE,1,0,0,0
90,ANTIC,1,1,1,0
91,ANVIL,1,0,0,0
92,AORTA,1,0,0,0
93,APART,0,0,1,1
94,APHID,1,0,0,0
95,APING,1,1,0,0
96,APNEA,1,0,0,0
97,APPLE,1,0,0,0
98,APPLY,0,1,0,0
99,APRON,1,0,0,0
100,APTLY,0,0,0,1
101,ARBOR,1,0,0,0
102,ARDOR,1,0,0,0
103,ARENA,1,0,0,0
104,ARGUE,0,1,0,0
105,ARISE,0,1,0,0
106,ARMOR,1,1,0,0
107,AROMA,1,0,0,0
108,AROSE,0,1,0,0
109,ARRAY,1,1,0,0
110,ARROW,1,0,0,0
111,ARSON,1,0,0,0
112,ARTSY,0,0,1,0
113,ASCOT,1,0,0,0
114,ASHEN,0,0,1,0
115,ASIDE,1,0,0,1
116,ASKEW,0,0,1,1
117,ASSAY,1,1,0,0
118,ASSET,1,0,0,0
119,ATOLL,1,0,0,0
120,ATONE,0,1,0,0
121,ATTIC,1,0,0,0
122,AUDIO,1,0,0,0
123,AUDIT,1,1,0,0
124,AUGUR,1,1,0,0
125,AUNTY,1,0,0,0
126,AVAIL,1,1,0,0
127,AVERT,0,1,0,0
128,AVIAN,0,0,1,0
129,AVOID,0,1,0,0
130,AWAIT,0,1,0,0
131,AWAKE,0,1,1,0
132,AWARD,1,1,0,0
133,AWARE,0,0,1,0
134,AWASH,0,0,1,0
135,AWFUL,0,0,1,1
136,AWOKE,0,1,1,0
137,AXIAL,0,0,1,0
138,AXIOM,1,0,0,0
139,AXION,1,0,0,0
140,AZURE,1,1,1,0
141,BACON,1,0,0,0
142,BADGE,1,1,0,0
143,BADLY,0,0,0,1
144,BAGEL,1,0,0,0
145,BAGGY,0,0,1,0
146,BAKER,1,0,0,0
147,BALER,1,1,0,0
148,BALMY,0,0,1,0
149,BANAL,0,0,1,0
150,BANJO,1,0,0,0
151,BARGE,1,1,0,0
152,BARON,1,0,0,0
153,BASAL,0,0,1,0
154,BASIC,1,0,0,0
155,BASIL,1,0,0,0
156,BASIN,1,0,0,0
157,BASIS,1,0,0,0
158,BASTE,1,1,0,0
159,BATCH,1,1,0,0
160,BATHE,1,1,0,0
161,BATON,1,0,0,0
162,BATTY,0,0,1,0
163,BAWDY,1,0,1,0
164,BAYOU,1,0,0,0
165,BEACH,1,1,0,0
166,BEADY,0,0,1,0
167,BEARD,1,1,0,0
168,BEAST,1,0,0,0
169,BEECH,1,0,0,0
170,BEEFY,0,0,1,0
171,BEFIT,0,1,0,0
172,BEGAN,0,1,0,0
173,BEGAT,0,1,0,0
174,BEGET,0,1,0,0
175,BEGIN,0,1,0,0
176,BEGUN,0,1,0,0
177,BEING,1,0,0,0
178,BELCH,1,1,0,0
179,BELIE,0,1,0,0
180,BELLE,1,0,0,0
181,BELLY,1,1,0,0
182,BELOW,0,0,0,1
183,BENCH,1,1,0,0
184,BERET,1,0,0,0
185,BERRY,1,1,0,0
186,BERTH,1,1,0,0
187,BESET,0,1,0,0
188,BETEL,1,0,0,0
189,BEVEL,1,1,0,0
190,BEZEL,1,0,0,0
191,BIBLE,1,0,0,0
192,BICEP,1,0,0,
193,BIDDY,1,0,0,0
194,BIGOT,1,0,0,0
195,BILGE,1,1,0,0
196,BILLY,1,0,0,0
197,BINGE,1,1,0,0
198,BINGO,1,0,0,0
199,BIOME,1,0,0,0
200,BIRCH,1,1,1,0
201,BIRTH,1,1,0,0
202,BISON,1,0,0,0
203,BITTY,0,0,1,0
204,BLACK,1,1,1,0
205,BLADE,1,0,0,0
206,BLAME,1,1,1,0
207,BLAND,0,0,1,0
208,BLANK,1,1,1,0
209,BLARE,1,1,0,0
210,BLAST,1,1,0,0
211,BLAZE,1,1,0,0
212,BLEAK,0,0,1,0
213,BLEAT,1,1,0,0
214,BLEED,0,1,0,0
215,BLEEP,1,1,0,0
216,BLEND,1,1,0,0
217,BLESS,0,1,0,0
218,BLIMP,1,0,0,0
219,BLIND,1,1,1,0
220,BLINK,1,1,0,0
221,BLISS,1,0,0,0
222,BLITZ,1,1,0,0
223,BLOAT,1,1,0,0
224,BLOCK,1,1,0,0
225,BLOKE,1,0,0,0
226,BLOND,1,0,1,0
227,BLOOD,1,1,0,0
228,BLOOM,1,1,0,0
